timestamps,TP9,AF7,AF8,TP10,Right AUX
1700264825.659,-1000.000,-59.570,-579.102,-149.414,0.000
1700264825.663,-831.055,-52.734,-673.340,-815.918,0.000
1700264825.667,102.051,-6.836,-504.395,166.016,0.000
1700264825.671,-205.566,-9.277,-372.070,919.922,0.000
1700264825.675,-1000.000,-59.570,-524.414,190.918,0.000
1700264825.679,-1000.000,-118.652,-752.930,-821.289,0.000
1700264825.683,-354.980,-59.082,-599.121,-170.410,0.000
1700264825.686,-151.855,-21.973,-429.199,885.742,0.000
1700264825.690,-891.113,-40.527,-495.117,541.992,0.000
1700264825.694,-1000.000,-79.590,-666.016,-685.547,0.000
1700264825.698,-504.883,-72.266,-652.344,-437.500,0.000
1700264825.702,18.066,-24.414,-463.379,735.352,0.000
1700264825.706,-696.777,-19.043,-349.609,826.172,0.000
1700264825.710,-1000.000,-95.703,-625.977,-313.965,0.000
1700264825.714,-672.363,-99.609,-700.195,-574.707,0.000
1700264825.718,89.355,-14.160,-472.656,560.059,0.000
1700264825.722,-435.059,1.953,-281.250,999.512,0.000
1700264825.725,-1000.000,-93.750,-554.688,168.945,0.000
1700264825.729,-868.652,-159.180,-849.121,-548.828,0.000
1700264825.733,100.098,-91.309,-688.965,344.238,0.000
1700264825.737,-6.348,0.977,-289.551,999.512,0.000
1700264825.741,-922.852,-43.945,-366.699,489.258,0.000
1700264825.745,-1000.000,-124.023,-661.621,-577.148,0.000
1700264825.749,-162.598,-66.406,-443.848,-55.664,0.000
1700264825.753,407.227,3.906,-217.773,958.496,0.000
1700264825.757,-552.246,-43.945,-365.234,771.484,0.000
1700264825.761,-1000.000,-134.277,-686.523,-373.535,0.000
1700264825.765,-347.656,-80.566,-543.457,-335.449,0.000
1700264825.768,710.449,-14.160,-260.254,765.625,0.000
1700264825.772,-127.441,-62.988,-355.469,999.023,0.000
1700264825.776,-1000.000,-161.133,-668.945,-3.906,0.000
1700264825.780,-570.801,-113.770,-647.949,-511.230,0.000
1700264825.784,772.949,-21.484,-312.500,482.910,0.000
1700264825.788,479.004,-46.875,-242.188,999.512,0.000
1700264825.792,-844.727,-122.559,-538.086,272.949,0.000
1700264825.796,-855.957,-141.113,-602.051,-663.574,0.000
1700264825.800,538.574,-63.965,-339.355,116.211,0.000
1700264825.804,960.449,-48.828,-273.438,999.512,0.000
1700264825.807,-310.547,-110.840,-443.848,540.527,0.000
1700264825.811,-1000.000,-138.184,-551.270,-643.555,0.000
1700264825.815,125.000,-80.566,-442.871,-184.082,0.000
1700264825.819,999.512,-63.965,-409.668,939.453,0.000
1700264825.823,109.863,-107.910,-485.352,789.062,0.000
1700264825.827,-1000.000,-145.020,-601.074,-407.715,0.000
1700264825.831,-181.152,-101.074,-529.297,-496.582,0.000
1700264825.835,999.512,-48.340,-311.523,647.949,0.000
1700264825.839,576.660,-61.523,-213.867,971.680,0.000
1700264825.842,-875.488,-116.699,-376.953,-113.281,0.000
1700264825.847,-433.105,-124.023,-529.297,-702.148,0.000
1700264825.850,999.512,-63.965,-372.070,317.383,0.000
1700264825.854,999.512,-41.016,-184.570,999.512,0.000
1700264825.858,-321.289,-108.887,-367.676,204.590,0.000
1700264825.862,-711.426,-155.273,-594.727,-760.742,0.000
1700264825.866,708.496,-98.633,-489.258,0.488,0.000
1700264825.870,999.512,-58.594,-249.512,958.496,0.000
1700264825.874,106.934,-102.539,-301.270,493.164,0.000
1700264825.878,-984.375,-173.340,-610.352,-669.922,0.000
1700264825.882,247.559,-129.883,-512.695,-357.422,0.000
1700264825.886,999.512,-46.875,-224.609,719.238,0.000
1700264825.889,520.996,-49.805,-205.078,703.613,0.000
1700264825.893,-899.902,-148.926,-599.609,-415.527,0.000
1700264825.897,-118.164,-153.809,-721.680,-585.938,0.000
1700264825.901,999.512,-47.852,-275.391,479.492,0.000
1700264825.905,931.152,-50.781,-210.938,901.855,0.000
1700264825.909,-462.891,-147.461,-535.645,-62.500,0.000
1700264825.913,-415.527,-165.527,-638.672,-778.320,0.000
1700264825.917,986.816,-78.613,-380.371,127.930,0.000
1700264825.921,999.512,-40.527,-225.098,899.902,0.000
1700264825.925,-62.500,-138.184,-542.969,249.512,0.000
1700264825.928,-746.094,-184.082,-740.234,-797.363,0.000
1700264825.932,636.719,-51.270,-369.141,-262.207,0.000
1700264825.936,999.512,0.488,-91.309,811.035,0.000
1700264825.940,278.809,-55.664,-161.133,529.297,0.000
1700264825.944,-965.332,-131.836,-512.695,-694.824,0.000
1700264825.948,142.578,-89.355,-435.547,-522.461,0.000
